NCT Number,Study Status,Study Results,Conditions,Sponsor,Sex,Age,Phases,Enrollment,Trial Duration (days),Number of Sites,Intervention Type,has_collaborator,Allocation,Primary Purpose,blinding_level,query_rate,risk_category,therapeutic_area,sponsor_type,protocol_amendment_count,crf_page_count,site_experience_score,country_risk_score,investigator_tenure_years,screen_failure_rate,enrollment_velocity,avg_time_visit_to_entry_days,edit_check_density_per_domain,historical_query_resolution_time_days,sdtm_domain_count,complex_derivations_flag,external_data_feeds_count
NCT01253837,COMPLETED,NO,Solid Tumors|Colorectal Cancer,Philogen S.p.A.,ALL,"ADULT, OLDER_ADULT",PHASE2,34.0,1461,2,DRUG,1,UNKNOWN,TREATMENT,0,13.1,LOW,ONCOLOGY,INDUSTRY,5,95,4.79,1,8.58,0.1919,0.6981519507186857,2.0,43,8.3,13,1,4
NCT00003245,COMPLETED,NO,Lymphoma,M.D. Anderson Cancer Center,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,50.0,2354,1,DRUG,1,UNKNOWN,TREATMENT,0,25.38,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,98,6.05,1,6.05,0.4564,0.637213254035684,1.7,28,8.8,11,0,2
NCT03858972,TERMINATED,NO,Breast Cancer,"Odonate Therapeutics, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,152.0,857,25,DRUG,0,UNKNOWN,TREATMENT,0,45.46,HIGH,ONCOLOGY,INDUSTRY,6,101,5.58,4,7.98,0.3042,5.320886814469079,2.4,43,11.0,10,0,1
NCT02094872,COMPLETED,YES,Recurrent Melanoma|Stage IIIA Melanoma|Stage IIIB Melanoma|Stage IIIC Melanoma|Stage IV Melanoma,Yale University,ALL,"ADULT, OLDER_ADULT",PHASE2,49.0,1675,8,OTHER,1,UNKNOWN,TREATMENT,0,29.9,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,4,93,6.04,1,1.06,0.1118,0.8776119402985074,5.6,24,8.5,5,1,5
NCT00301795,TERMINATED,NO,Stage III Grade 1 Follicular Lymphoma|Stage III Grade 2 Follicular Lymphoma|Stage III Grade 3 Follicular Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,52.0,610,1,BIOLOGICAL,0,UNKNOWN,TREATMENT,0,77.48,HIGH,ONCOLOGY,ACADEMIC_GOVT,0,124,4.64,5,0.62,0.4651,2.557377049180328,5.0,33,4.1,17,1,5
NCT01079845,TERMINATED,NO,Polycystic Ovary Syndrome,Boston Children's Hospital,FEMALE,"CHILD, ADULT",NOT_REPORTED,19.0,1219,1,BEHAVIORAL,1,RANDOMIZED,TREATMENT,1,26.32,MEDIUM,OTHER,ACADEMIC_GOVT,3,49,4.99,1,0.88,0.3036,0.4675963904840033,2.0,13,20.2,3,0,0
NCT00145145,TERMINATED,YES,Malignant Melanoma,Ludwig Institute for Cancer Research,ALL,"ADULT, OLDER_ADULT",PHASE2,1.0,1202,2,BIOLOGICAL,0,UNKNOWN,TREATMENT,0,25.6,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,4,179,7.38,2,1.79,0.3032,0.1,13.9,39,17.4,16,1,5
NCT00601172,COMPLETED,YES,"Nausea and Vomiting, Chemotherapy-Induced",GlaxoSmithKline,ALL,"ADULT, OLDER_ADULT",PHASE3,710.0,399,96,DRUG,0,RANDOMIZED,SUPPORTIVE_CARE,2,69.36,HIGH,OTHER,INDUSTRY,5,275,4.43,4,3.52,0.1775,53.38345864661654,1.5,68,3.1,20,1,1
NCT01222377,TERMINATED,NO,Male Breast Cancer|Recurrent Breast Cancer|Stage IA Breast Cancer|Stage IB Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer,University of Southern California,ALL,"CHILD, ADULT, OLDER_ADULT",NOT_REPORTED,2.0,395,1,PROCEDURE,1,UNKNOWN,TREATMENT,0,35.89,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,75,6.78,2,2.87,0.4677,0.1518987341772152,4.1,23,4.0,7,1,1
NCT02471339,COMPLETED,YES,Neurofibromatosis Type 1|Plexiform Neurofibromas,National Cancer Institute (NCI),ALL,"CHILD, ADULT",PHASE3,66.0,1996,1,BEHAVIORAL,0,RANDOMIZED,SUPPORTIVE_CARE,0,21.52,LOW,OTHER,ACADEMIC_GOVT,9,69,6.66,2,7.34,0.3423,0.9919839679358717,0.9,25,9.9,8,1,1
NCT04065139,COMPLETED,NO,Gastric Adenocarcinoma|Cancer Metastatic|Chemotherapy Effect,Assistance Publique - Hôpitaux de Paris,ALL,"ADULT, OLDER_ADULT",PHASE2,66.0,1360,1,DRUG,0,RANDOMIZED,TREATMENT,0,86.41,HIGH,ONCOLOGY,INDUSTRY,2,109,7.51,1,11.52,0.3025,1.4558823529411764,3.7,22,3.6,11,1,0
NCT04887857,COMPLETED,NO,"Leukemia, Myeloid, Acute",Celgene,ALL,"ADULT, OLDER_ADULT",PHASE1,6.0,768,10,DRUG,1,UNKNOWN,TREATMENT,0,32.27,MEDIUM,ONCOLOGY,INDUSTRY,4,52,5.09,2,7.32,0.4112,0.234375,3.5,16,4.0,7,1,2
NCT03714828,COMPLETED,YES,"Squamous Cell Carcinoma|Skin Cancer|Keratoacanthoma|Cutaneous Tumor|Skin Cancer, Squamous Cell|Lesion Skin",University of Arizona,ALL,"ADULT, OLDER_ADULT",PHASE2,11.0,1672,2,DRUG,1,UNKNOWN,TREATMENT,0,8.42,LOW,ONCOLOGY,ACADEMIC_GOVT,8,107,6.05,1,2.03,0.5864,0.19736842105263158,3.1,28,4.6,13,1,1
NCT04685928,COMPLETED,NO,Prostate Cancer,Chinese University of Hong Kong,MALE,"ADULT, OLDER_ADULT",NOT_REPORTED,403.0,1216,8,DIAGNOSTIC_TEST,0,RANDOMIZED,DIAGNOSTIC,0,33.15,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,72,3.96,2,0.89,0.2679,9.942434210526317,3.6,28,6.5,9,0,1
NCT00238381,COMPLETED,NO,Colorectal Cancer,Swiss Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE3,336.0,4049,18,PROCEDURE,0,RANDOMIZED,TREATMENT,0,105.16,HIGH,ONCOLOGY,ACADEMIC_GOVT,8,193,6.92,4,5.45,0.6434,2.4895035811311437,5.6,62,18.3,17,1,1
NCT02162719,COMPLETED,YES,Breast Neoplasms,"Genentech, Inc.",FEMALE,"ADULT, OLDER_ADULT",PHASE2,124.0,1838,44,DRUG,0,RANDOMIZED,TREATMENT,2,83.27,HIGH,ONCOLOGY,INDUSTRY,11,152,5.68,5,0.5,0.4383,2.0239390642002175,1.8,46,8.8,11,1,2
NCT05796219,COMPLETED,NO,Breast Cancer,Manchester University NHS Foundation Trust,FEMALE,ADULT,NOT_REPORTED,154.0,1455,1,RADIATION,0,UNKNOWN,SCREENING,0,73.89,HIGH,ONCOLOGY,ACADEMIC_GOVT,0,99,5.99,1,14.01,0.3096,3.1752577319587627,1.7,22,10.2,11,0,0
NCT04271930,TERMINATED,NO,Sleep|Multiple Myeloma,Medical College of Wisconsin,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,24.0,933,1,BEHAVIORAL,0,RANDOMIZED,SUPPORTIVE_CARE,0,43.8,HIGH,ONCOLOGY,ACADEMIC_GOVT,4,56,6.86,2,7.84,0.2491,0.7717041800643086,13.0,8,7.9,7,1,1
NCT00923481,COMPLETED,YES,"Head and Neck Neoplasms|Pheochromocytoma|Colorectal Neoplasms|Carcinoma, Non-Small-Cell Lung|Carcinoma, Renal Cell",National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,37.0,1005,1,DRUG,0,UNKNOWN,TREATMENT,0,29.97,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,0,133,5.27,2,2.67,0.4242,1.1044776119402986,10.2,35,18.7,6,1,3
NCT06705530,COMPLETED,NO,"Non-Hodgkin Lymphoma, B-cell|Acute Lymphoblastic Leukemia ALL","National Research Center for Hematology, Russia",ALL,"ADULT, OLDER_ADULT",PHASE2,58.0,356,1,BIOLOGICAL,0,UNKNOWN,TREATMENT,0,52.13,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,103,7.75,3,3.87,0.2663,4.887640449438202,7.1,38,9.3,11,0,2
NCT00354172,TERMINATED,YES,Leukemia|Myelodysplastic Syndromes,"Masonic Cancer Center, University of Minnesota",ALL,"CHILD, ADULT",PHASE2,16.0,912,1,BIOLOGICAL,0,UNKNOWN,TREATMENT,0,13.65,LOW,ONCOLOGY,ACADEMIC_GOVT,7,139,5.62,1,2.54,0.1609,0.5263157894736842,4.3,42,12.7,13,0,4
NCT02980601,TERMINATED,YES,Head and Neck Cancer,Wake Forest University Health Sciences,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,10.0,1009,1,DEVICE,0,RANDOMIZED,SUPPORTIVE_CARE,0,23.46,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,4,91,4.9,2,1.19,0.5386,0.29732408325074333,8.9,33,10.9,8,1,1
NCT05140512,COMPLETED,NO,Prostate Cancer,Luye Pharma Group Ltd.,MALE,"ADULT, OLDER_ADULT",PHASE1,23.0,295,1,DRUG,0,RANDOMIZED,TREATMENT,0,27.36,MEDIUM,ONCOLOGY,INDUSTRY,0,54,3.95,3,3.99,0.4948,2.3389830508474576,2.6,17,13.0,8,1,0
NCT03172819,COMPLETED,NO,Advanced Solid Tumor,Toshihiko Doi,ALL,"ADULT, OLDER_ADULT",PHASE1,22.0,1648,1,BIOLOGICAL,1,UNKNOWN,TREATMENT,0,30.27,MEDIUM,ONCOLOGY,INDUSTRY,5,74,4.38,1,4.29,0.1689,0.4004854368932039,4.2,18,9.5,8,0,3
NCT02297230,TERMINATED,YES,Breast Cancer,NYU Langone Health,FEMALE,"ADULT, OLDER_ADULT",PHASE2,44.0,4567,1,RADIATION,0,NON_RANDOMIZED,TREATMENT,0,32.23,MEDIUM,ONCOLOGY,INDUSTRY,3,74,5.19,1,6.45,0.4446,0.2890299978103788,1.1,21,8.0,15,0,1
NCT02884128,COMPLETED,NO,Solid Tumor,PharmaEngine,ALL,"ADULT, OLDER_ADULT",PHASE1,16.0,1642,0,DRUG,0,UNKNOWN,TREATMENT,0,11.38,LOW,ONCOLOGY,INDUSTRY,1,54,6.64,1,1.02,0.1169,0.292326431181486,2.0,10,7.2,9,0,3
NCT00672828,COMPLETED,NO,Colorectal Cancer,Indiana University,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,693.0,1552,1,BEHAVIORAL,1,RANDOMIZED,PREVENTION,0,31.2,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,6,52,4.74,2,4.84,0.4001,13.39561855670103,3.3,11,3.2,6,0,0
NCT02613728,COMPLETED,NO,Colorectal Cancer,M.D. Anderson Cancer Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,32.0,2125,1,BEHAVIORAL,1,RANDOMIZED,TREATMENT,2,15.2,LOW,ONCOLOGY,ACADEMIC_GOVT,5,48,4.66,4,4.82,0.2781,0.45176470588235296,1.9,17,5.2,3,1,0
NCT02409628,COMPLETED,NO,Non-melanoma Skin Cancer|Basal Cell Carcinoma|Squamous Cell Carcinoma,Neotherix Limited,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,12.0,800,3,DEVICE,1,UNKNOWN,TREATMENT,0,12.92,LOW,ONCOLOGY,INDUSTRY,2,112,6.85,2,3.78,0.5224,0.44999999999999996,1.6,25,6.2,11,1,2
NCT01461265,COMPLETED,NO,Pain|Neoplasm Metastasis,Boston Scientific Corporation,ALL,"ADULT, OLDER_ADULT",PHASE1,29.0,1247,4,PROCEDURE,0,UNKNOWN,SUPPORTIVE_CARE,0,2.85,LOW,ONCOLOGY,INDUSTRY,2,55,5.11,4,3.93,0.2592,0.6976744186046511,2.0,7,6.0,5,0,1
NCT03415477,COMPLETED,NO,Bone Cyst Aneurysmal|Pathological Fracture|Recurrent Disease|Refractory Tumor,Peking University People's Hospital,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,6.0,1460,0,DRUG,0,UNKNOWN,TREATMENT,0,18.65,LOW,ONCOLOGY,ACADEMIC_GOVT,1,112,4.1,2,9.95,0.3096,0.12328767123287672,1.9,29,6.6,11,0,1
NCT00422877,TERMINATED,NO,Cancer of the Liver,"American Regent, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,13.0,425,1,DRUG,0,UNKNOWN,TREATMENT,0,19.67,LOW,ONCOLOGY,INDUSTRY,1,125,5.15,2,1.66,0.5654,0.9176470588235295,4.8,22,12.9,10,0,2
NCT05813145,COMPLETED,NO,Breast Cancer,Damanhour University,FEMALE,ADULT,NOT_REPORTED,50.0,582,1,DRUG,0,RANDOMIZED,TREATMENT,2,65.63,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,88,5.97,2,0.91,0.4304,2.577319587628866,5.5,27,18.7,11,1,0
NCT00398372,COMPLETED,NO,"Lymphoma, Non-Hodgkin|Lymphomas: Non-Hodgkin|Lymphomas: Non-Hodgkin Cutaneous Lymphoma|Lymphomas: Non-Hodgkin Diffuse Large B-Cell|Lymphomas: Non-Hodgkin Follicular / Indolent B-Cell|Lymphomas: Non-Hodgkin Mantle Cell|Lymphomas: Non-Hodgkin Marginal Zone|Lymphomas: Non-Hodgkin Peripheral T-Cell|Lymphomas: Non-Hodgkin Waldenstr Macroglobulinemia",Stanford University,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,500.0,3226,1,DRUG,1,NON_RANDOMIZED,UNKNOWN,0,56.2,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,95,5.66,2,2.62,0.1472,4.6497210167389955,2.0,31,8.6,6,1,1
NCT00238277,TERMINATED,NO,Brain and Central Nervous System Tumors,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,ALL,"ADULT, OLDER_ADULT",PHASE2,15.0,1029,1,DRUG,1,UNKNOWN,TREATMENT,0,23.17,MEDIUM,NEUROLOGY,ACADEMIC_GOVT,5,109,5.68,2,1.06,0.3853,0.4373177842565598,2.1,25,2.4,10,0,0
NCT04716075,COMPLETED,NO,Chronic Lymphocytic Leukemia|Chronic Graft-versus-host-disease|Mantle Cell Lymphoma|Adverse Event|Response Rate,Polish Lymphoma Research Group,ALL,"ADULT, OLDER_ADULT",PHASE2,29.0,1807,6,DRUG,1,UNKNOWN,TREATMENT,0,29.29,MEDIUM,ONCOLOGY,INDUSTRY,10,126,5.11,3,0.5,0.2933,0.48146098505810736,0.5,41,5.8,12,1,0
NCT03009201,COMPLETED,NO,Advanced Soft Tissue Sarcoma|Locally Advanced Angiosarcoma|Locally Advanced Leiomyosarcoma|Locally Advanced Liposarcoma|Locally Advanced Malignant Peripheral Nerve Sheath Tumor|Locally Advanced Myxofibrosarcoma|Locally Advanced Undifferentiated Pleomorphic Sarcoma|Metastatic Angiosarcoma|Metastatic Epithelioid Sarcoma|Metastatic Fibrosarcoma|Metastatic Liposarcoma|Metastatic Malignant Peripheral Nerve Sheath Tumor|Metastatic Myxofibrosarcoma|Metastatic Soft Tissue Sarcoma|Metastatic Synovial Sarcoma|Metastatic Undifferentiated Pleomorphic Sarcoma|Myxofibrosarcoma|Pleomorphic Rhabdomyosarcoma|Stage III Soft Tissue Sarcoma AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Undifferentiated (Embryonal) Sarcoma|Unresectable Leiomyosarcoma|Unresectable Liposarcoma|Unresectable Malignant Peripheral Nerve Sheath Tumor|Unresectable Soft Tissue Sarcoma|Unresectable Synovial Sarcoma|Unresectable Undifferentiated Pleomorphic Sarcoma,OHSU Knight Cancer Institute,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,16.0,2303,1,DRUG,1,UNKNOWN,TREATMENT,0,25.03,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,0,52,5.32,1,2.23,0.3378,0.20842379504993486,2.9,12,4.3,12,1,5
NCT00393172,COMPLETED,NO,Breast Cancer|Obesity,University of Minnesota,FEMALE,ADULT,PHASE3,400.0,1400,1,BEHAVIORAL,1,RANDOMIZED,PREVENTION,0,88.72,HIGH,METABOLIC,ACADEMIC_GOVT,3,106,7.01,1,5.49,0.2288,8.571428571428571,1.6,26,7.0,10,1,0
NCT02519595,COMPLETED,YES,"Moderate, Deep Sedation",Children's Hospital of Michigan,ALL,"CHILD, ADULT",PHASE4,182.0,731,0,DRUG,0,RANDOMIZED,TREATMENT,4,17.49,LOW,OTHER,ACADEMIC_GOVT,3,83,5.56,4,4.75,0.2302,7.46922024623803,1.2,31,5.7,11,1,2
NCT04431895,COMPLETED,NO,"Myasthenia Gravis, Generalized",Huashan Hospital,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,19.0,1389,1,DRUG,0,UNKNOWN,TREATMENT,0,14.52,LOW,OTHER,ACADEMIC_GOVT,4,32,6.22,2,2.15,0.0109,0.4103671706263499,13.2,16,11.6,6,0,1
NCT02780765,COMPLETED,YES,Cancer of Head and Neck,Tata Memorial Hospital,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,60.0,184,0,DEVICE,0,RANDOMIZED,SUPPORTIVE_CARE,0,20.34,LOW,ONCOLOGY,ACADEMIC_GOVT,1,101,6.53,1,2.65,0.2058,9.782608695652174,3.4,20,6.5,8,1,3
NCT02015819,COMPLETED,YES,Adult Anaplastic Astrocytoma|Adult Anaplastic Oligodendroglioma|Adult Giant Cell Glioblastoma|Adult Glioblastoma|Adult Gliosarcoma|Recurrent Adult Brain Tumor|Anaplastic Oligoastrocytoma,City of Hope Medical Center,ALL,"ADULT, OLDER_ADULT",PHASE1,16.0,1096,1,BIOLOGICAL,1,UNKNOWN,TREATMENT,0,25.78,MEDIUM,NEUROLOGY,ACADEMIC_GOVT,2,45,4.87,2,0.5,0.2531,0.43795620437956206,6.2,21,4.4,9,0,1
NCT01903681,COMPLETED,NO,Sleep Problems,Neurim Pharmaceuticals Ltd.,ALL,CHILD,PHASE1,16.0,396,1,DRUG,0,NON_RANDOMIZED,BASIC_SCIENCE,0,20.91,LOW,OTHER,INDUSTRY,1,55,7.08,1,7.22,0.2762,1.2121212121212122,1.9,4,1.2,6,1,1
NCT01082419,COMPLETED,NO,Liver Fibrosis|Liver Cirrhosis|Viral Hepatitis|Liver Tumour|Cardiac Failure|Biliary Cholestasis.,"University Hospital, Bordeaux",ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,109.0,1096,1,DEVICE,0,NON_RANDOMIZED,DIAGNOSTIC,0,29.11,MEDIUM,INFECTIOUS DISEASE,ACADEMIC_GOVT,4,89,6.98,2,0.5,0.4207,2.9835766423357666,3.2,29,1.8,7,0,0
NCT02705365,COMPLETED,YES,Lung Cancer,Massachusetts General Hospital,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,1200.0,372,1,OTHER,0,RANDOMIZED,PREVENTION,0,20.18,LOW,ONCOLOGY,ACADEMIC_GOVT,1,79,4.55,1,2.18,0.2158,69.51506426735254,7.3,30,8.5,7,0,2
NCT03008330,COMPLETED,NO,Tongue Cancer,"Fuda Cancer Hospital, Guangzhou",ALL,ADULT,PHASE2,20.0,912,1,BIOLOGICAL,1,RANDOMIZED,TREATMENT,0,24.64,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,6,121,5.16,2,0.5,0.4962,0.6578947368421053,9.2,35,11.8,20,1,9
NCT02867839,TERMINATED,NO,Gastric Cancer,Peking University Cancer Hospital & Institute,ALL,"ADULT, OLDER_ADULT",PHASE3,29.0,1591,15,DRUG,0,RANDOMIZED,TREATMENT,0,99.67,HIGH,ONCOLOGY,ACADEMIC_GOVT,9,250,5.09,1,0.8,0.3196,0.546825895663105,0.8,55,23.8,20,1,4
NCT02854839,COMPLETED,NO,Hepatocellular Carcinoma,GC Cell Corporation,ALL,"ADULT, OLDER_ADULT",PHASE2,78.0,1023,6,BIOLOGICAL,0,RANDOMIZED,TREATMENT,0,74.58,HIGH,ONCOLOGY,INDUSTRY,5,142,7.82,4,1.67,0.6191,2.287390029325513,2.5,40,1.3,11,0,1
NCT04819477,COMPLETED,NO,Lung Cancer,Karl Landsteiner Institute for Lung Research and Pneumological Oncology,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,973.0,182,1,BEHAVIORAL,0,RANDOMIZED,SCREENING,1,14.22,LOW,ONCOLOGY,ACADEMIC_GOVT,0,54,6.27,2,3.18,0.155,69.51506426735254,14.9,15,19.4,5,0,1
NCT01309412,TERMINATED,NO,Multiple Myeloma,Janssen Pharmaceutical K.K.,ALL,"ADULT, OLDER_ADULT",PHASE1,9.0,700,5,DRUG,0,UNKNOWN,TREATMENT,0,36.05,MEDIUM,ONCOLOGY,INDUSTRY,0,54,4.42,2,3.66,0.2483,0.38571428571428573,4.0,12,6.4,9,0,1
NCT05640804,COMPLETED,NO,"Leukemia, Myelogenous, Chronic","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",ALL,ADULT,PHASE1,56.0,394,1,DRUG,0,RANDOMIZED,TREATMENT,0,48.57,HIGH,ONCOLOGY,INDUSTRY,0,48,4.13,5,7.21,0.3528,4.2639593908629445,5.8,17,8.5,12,0,1
NCT04047004,COMPLETED,NO,Gastric Adenocarcinoma|Gastric Cancer,Michael Bau Mortensen,ALL,"ADULT, OLDER_ADULT",PHASE1,20.0,934,2,DRUG,0,UNKNOWN,OTHER,0,19.52,LOW,ONCOLOGY,INDUSTRY,0,67,7.87,2,5.05,0.1828,0.6423982869379015,3.0,22,4.5,5,1,1
NCT03935204,COMPLETED,NO,Condylomata Acuminata|Cervical Cancer,Xiamen University,FEMALE,ADULT,PHASE2,627.0,689,1,BIOLOGICAL,1,RANDOMIZED,PREVENTION,2,69.7,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,106,6.74,1,1.9,0.3725,27.300435413642962,10.3,45,7.0,12,1,2
NCT00471133,COMPLETED,NO,Melanoma (Skin)|Intraocular Melanoma,Ichor Medical Systems Incorporated,ALL,"ADULT, OLDER_ADULT",PHASE1,24.0,1126,1,BIOLOGICAL,1,UNKNOWN,TREATMENT,0,20.99,LOW,ONCOLOGY,INDUSTRY,1,60,7.73,2,0.5,0.0779,0.6394316163410302,2.1,14,3.1,7,0,3
NCT01444404,COMPLETED,NO,Advanced Malignancy|Advanced Solid Tumors|Cancer|Oncology|Oncology Patients|Tumors,"AmMax Bio, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE1,25.0,2138,3,DRUG,0,NON_RANDOMIZED,TREATMENT,0,28.5,MEDIUM,ONCOLOGY,INDUSTRY,2,45,4.31,2,2.53,0.2815,0.3507951356407858,0.6,18,6.5,10,1,3
NCT03746704,TERMINATED,NO,Advanced PD-L1 Positive Malignancies,Regeneron Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE1,2.0,673,2,DRUG,0,UNKNOWN,BASIC_SCIENCE,0,19.95,LOW,OTHER,INDUSTRY,0,59,5.16,3,0.95,0.132,0.1,5.2,13,2.0,8,0,1
NCT01149304,COMPLETED,NO,Colorectal Cancer|Liver Metastases|Irradiation Damage|Radiation Induced Liver Disease,University of Magdeburg,ALL,"ADULT, OLDER_ADULT",PHASE2,22.0,3089,1,DRUG,1,RANDOMIZED,PREVENTION,0,49.46,HIGH,ONCOLOGY,ACADEMIC_GOVT,5,113,6.68,1,16.4,0.2911,0.2136613790870832,1.3,27,5.1,10,1,3
NCT01118052,COMPLETED,YES,Fallopian Tube Carcinoma|Primary Peritoneal Carcinoma|Recurrent Ovarian Carcinoma,Gynecologic Oncology Group,FEMALE,"ADULT, OLDER_ADULT",PHASE2,22.0,2084,11,OTHER,1,UNKNOWN,TREATMENT,0,19.65,LOW,ONCOLOGY,INDUSTRY,2,112,5.47,2,0.54,0.3387,0.3166986564299424,4.9,30,3.4,12,1,2
NCT01108055,COMPLETED,YES,"Bladder Cancer|Bladder (Urothelial, Transitional Cell) Cancer|Bladder (Urothelial, Transitional Cell) Cancer Superficial (Non-Invasive)|Bladder (Urothelial, Transitional Cell) Cancer Resectable (Pre-Cystectomy)|Bladder (Urothelial, Transitional Cell) Cancer Metastatic or Unresectable",Sandy Srinivas,ALL,"ADULT, OLDER_ADULT",PHASE2,43.0,1917,2,DRUG,1,UNKNOWN,TREATMENT,0,14.09,LOW,ONCOLOGY,INDUSTRY,4,121,4.25,2,0.5,0.2425,0.672926447574335,0.7,37,6.1,17,0,1
NCT02789878,COMPLETED,NO,Prostate Cancer,Instituto do Cancer do Estado de São Paulo,MALE,"ADULT, OLDER_ADULT",PHASE2,64.0,1285,1,DRUG,1,RANDOMIZED,TREATMENT,1,18.65,LOW,ONCOLOGY,INDUSTRY,5,111,6.41,1,5.17,0.4794,1.4941634241245136,2.9,24,8.0,10,0,0
NCT00352378,COMPLETED,NO,Breast Cancer,"National Cancer Center, Korea",FEMALE,"ADULT, OLDER_ADULT",PHASE3,209.0,1310,0,DRUG,0,RANDOMIZED,TREATMENT,0,33.18,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,6,203,6.29,1,1.33,0.1345,4.786259541984733,2.0,48,9.1,20,1,3
NCT01475058,COMPLETED,NO,Philadelphia Chromosome Negative Adult Precursor Acute Lymphoblastic Leukemia|Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Mantle Cell Lymphoma|Refractory Chronic Lymphocytic Leukemia,Fred Hutchinson Cancer Center,ALL,"ADULT, OLDER_ADULT",PHASE2,1.0,821,1,BIOLOGICAL,1,UNKNOWN,TREATMENT,0,11.2,LOW,ONCOLOGY,ACADEMIC_GOVT,5,123,4.54,2,0.51,0.3476,0.1,2.0,48,6.2,13,0,2
NCT00429858,TERMINATED,YES,Pancreatic Cancer,Andrew Ko,ALL,"ADULT, OLDER_ADULT",PHASE2,21.0,1094,2,DRUG,1,UNKNOWN,TREATMENT,0,42.58,HIGH,ONCOLOGY,INDUSTRY,3,107,5.34,2,11.04,0.5038,0.5758683729433272,1.7,20,9.4,6,1,2
NCT05461248,COMPLETED,NO,Rectal Cancer,The First Hospital of Jilin University,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,60.0,668,1,PROCEDURE,0,RANDOMIZED,SUPPORTIVE_CARE,0,14.59,LOW,ONCOLOGY,ACADEMIC_GOVT,2,77,4.42,1,20.0,0.3062,2.694610778443114,4.4,16,5.9,10,0,0
NCT01280526,COMPLETED,NO,Peripheral T Cell Lymphoma,The Lymphoma Academic Research Organisation,ALL,"ADULT, OLDER_ADULT",PHASE2,37.0,1155,8,DRUG,0,NON_RANDOMIZED,TREATMENT,0,16.34,LOW,ONCOLOGY,INDUSTRY,3,98,7.31,3,5.67,0.1085,0.961038961038961,1.9,35,2.6,15,0,0
NCT00251355,COMPLETED,NO,Pancreatic Cancer,Dana-Farber Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE1,40.0,3865,3,DRUG,1,NON_RANDOMIZED,TREATMENT,0,21.87,LOW,ONCOLOGY,ACADEMIC_GOVT,5,69,7.02,3,12.99,0.352,0.31047865459249674,3.4,22,11.6,6,0,2
